type,commit_hash,modifications,lines_added,lines_removed,lines_added+removed,diff_methods,changed_methods,complexity
other,7b4b7fecb23a3e18733e150bd0100f7b2bdd5632,5.0,53.0,94.0,147.0,-2.0,17.0,60.0
other,ca37ac991a3a40c1bea73319c93fe74f3e2a68be,12.0,202.0,102.0,304.0,5.0,41.0,59.333.333.333.333.300
other,20c46127a65d58924910be351f896b31ce323232,7.0,152.0,140.0,292.0,1.0,50.0,56.142.857.142.857.100
other,7f4b8b657b8be4d41f99e682a582b0133ea92576,5.0,30.0,66.0,96.0,-2.0,8.0,80.8
other,626a710f150723bcc08e3b7f3de7d2a4f9f49615,7.0,78.0,75.0,153.0,0.0,39.0,6.814.285.714.285.710
other,fe9f151d7413ce1f9655e2d2c728507ea0221231,9.0,313.0,300.0,613.0,4.0,43.0,52.666.666.666.666.600
other,2594c6c695f2898bba947ea86a7aaac8dcfd4dc4,10.0,141.0,90.0,231.0,0.0,30.0,65.9
other,512f3528daf902fb74ad0e128420763cb91bdd35,1.0,4.0,4.0,8.0,0.0,1.0,31.0
other,46ec605734bacc90552643f7bba1b8b6ae09ee0f,11.0,187.0,142.0,329.0,6.0,62.0,73.0
other,9a6b84319e6ae8dff2f6af67d1083fe7b3050e5c,16.0,355.0,201.0,556.0,22.0,76.0,50.375
other,89ca799ac5950aa88982b9f1f3830babca9d34e4,5.0,85.0,141.0,226.0,-11.0,32.0,4.6
other,b21762f91cbd18d81637843aecba454ff8b5dea3,1.0,5.0,1.0,6.0,0.0,2.0,19.0
other,50df11c4715d15c08aa1f079802727e412fe250d,9.0,173.0,40.0,213.0,1.0,17.0,7.833.333.333.333.330
other,ad8d8099a5e475475ddce44cde1b5e1d360990c4,6.0,183.0,47.0,230.0,9.0,24.0,24.666.666.666.666.600
other,392165d238632c054c949bf9dde74a04a2f5f77e,5.0,221.0,196.0,417.0,6.0,21.0,39.4
other,94c38da706a99f2be825c67718c150b58eb08928,7.0,37.0,8.0,45.0,1.0,7.0,6.442.857.142.857.140
other,56f55d9914c10a669435589a8eda135206e0672d,3.0,42.0,11.0,53.0,3.0,8.0,40.666.666.666.666.600
other,8dcfaf02b5ad464689543a02f6eed5c1d988e922,4.0,78.0,53.0,131.0,-1.0,13.0,8.25
other,d50ea813cc51bd34fbc0a6fefec9c00ba88361c4,3.0,12.0,53.0,65.0,-3.0,9.0,16.666.666.666.666.600
other,3512ec5c9b83a29789ccaea4a6aab665ffc93ac1,8.0,156.0,54.0,210.0,1.0,14.0,59.5
other,6edaf8cad4d81f9ca6550f2db06fd677691c7688,2.0,2.0,12.0,14.0,0.0,1.0,8.5
other,9d28d9c9e2078dd598777980b5eff46355b6df72,8.0,54.0,41.0,95.0,4.0,20.0,188.375
other,7bdb700a3e241b8a16f0ce13ec1ff310e09df7b4,10.0,159.0,91.0,250.0,5.0,25.0,37.2
other,4fb5e71fe7da8b2c42986dc941567b93aef5f2e5,3.0,41.0,547.0,588.0,-30.0,35.0,19.666.666.666.666.600
